intersection_id,time_bin,vehicle_count,avg_speed,congestion_score,current_green,fuzzy_delta,suggested_green_fuzzy
"(('7116487491', 0, 344.06905231398287, 'G'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1647.8190523139826, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 1883.1990523139825, 'r'), ('cluster_3681802616_8393114933', 4, 2072.9490523139825, 'r'))",2025-09-09 00:13:20,1,68.65,0.0,10.0,0.0,10.0
"(('7116487491', 0, 355.47318122299174, 'G'),)",2025-09-09 00:13:10,1,60.07,0.0,20.0,0.0,20.0
"(('7116487491', 0, 355.64162725226214, 'y'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1659.391627252262, 'y'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1894.771627252262, 'r'))",2025-09-09 00:13:20,1,66.36,0.0,10.0,0.0,10.0
"(('7116487491', 0, 36.41273979813842, 'G'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1340.1627397981385, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 1575.5427397981384, 'g'), ('cluster_3681802616_8393114933', 4, 1765.2927397981384, 'r'))",2025-09-09 00:13:20,1,67.19,0.0,10.0,0.0,10.0
"(('7116487491', 0, 363.13897080460333, 'G'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1666.888970804603, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 1902.2689708046032, 'r'), ('cluster_3681802616_8393114933', 4, 2092.018970804603, 'r'))",2025-09-09 00:13:20,1,68.88,0.0,10.0,0.0,10.0
"(('7116487491', 0, 372.1601005735503, 'G'),)",2025-09-09 00:13:10,1,60.7,0.0,20.0,0.0,20.0
"(('7116487491', 0, 374.0746427645085, 'y'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1677.8246427645083, 'y'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1913.2046427645082, 'r'))",2025-09-09 00:13:20,1,66.23,0.0,10.0,0.0,10.0
"(('7116487491', 0, 382.2713244689793, 'G'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1686.021324468979, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 1921.401324468979, 'r'), ('cluster_3681802616_8393114933', 4, 2111.151324468979, 'r'))",2025-09-09 00:13:20,1,67.66,0.0,10.0,0.0,10.0
"(('7116487491', 0, 389.02065913777517, 'G'),)",2025-09-09 00:13:10,1,59.63,0.0,20.0,0.0,20.0
"(('7116487491', 0, 392.47104035916414, 'y'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1696.221040359164, 'y'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1931.601040359164, 'r'))",2025-09-09 00:13:20,1,69.48,0.0,10.0,0.0,10.0
"(('7116487491', 0, 401.0657105827404, 'r'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1704.8157105827402, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 1940.19571058274, 'y'), ('cluster_3681802616_8393114933', 4, 2129.94571058274, 'r'))",2025-09-09 00:13:20,1,67.86,0.0,10.0,0.0,10.0
"(('7116487491', 0, 405.58367523892, 'r'),)",2025-09-09 00:13:10,1,61.27,0.0,20.0,0.0,20.0
"(('7116487491', 0, 411.7721082179726, 'y'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1715.5221082179723, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1950.9021082179725, 'r'))",2025-09-09 00:13:20,1,68.15,0.0,10.0,0.0,10.0
"(('7116487491', 0, 419.9161508629265, 'r'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1723.6661508629263, 'r'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 1959.0461508629264, 'y'), ('cluster_3681802616_8393114933', 4, 2148.7961508629264, 'y'))",2025-09-09 00:13:20,1,66.38,0.0,10.0,0.0,10.0
"(('7116487491', 0, 422.60361483997787, 'r'),)",2025-09-09 00:13:10,1,62.47,0.0,20.0,0.0,20.0
